title,category,country,price
Кобальт хлористый 6-вод.,,,2 000 
Вольфрам оксид,селективные реактивы,,4 200 
Тетраэтоксисилан чда,селективные реактивы,,950 
Кадмий гранулированный,селективные реактивы,,1 500 
Вещество вспомогательное ОП-10,,,220 
Флуорексон (Кальцеин),селективные реактивы,,5 000 
Гидразин уксуснокислый,селективные реактивы,,1 520 
Магний сернокислый 7 - вод. Ч,селективные реактивы,Россия,100 
Фенол,селективные реактивы,Россия,800 
Кальций фтористый,селективные реактивы,,850 
Бром хч в ампулах по 50гр,селективные реактивы,,3 000 
Ртуть II роданистая (ртуть II тиоцианат)  хч,селективные реактивы,,8 000 
Литий углекислый,селективные реактивы,,2 600 
Канифоль сосновая живичная,,,900 
Диэтаноламин,селективные реактивы,,380 
"Стан.-титр: аммоний роданистый 0,1 Н",селективные реактивы,,450 
Кальций сернокислый 2-водный,селективные реактивы,,80 
"Бромоформ, трибромметан",селективные реактивы,,6 500 
"Селен элементарный, осч 22-4",селективные реактивы,,30 000 
Иона калия (I),,,200 
Селитра калиевая,,,230 
Нитрилотриметилфосфоновая кислота,,,250 
Калий хлористый хч,,,65 
Сульфоуголь СК по ГОСТ,селективные реактивы,,68 
Герметик-прокладка  Loctite 5910 Black,,,198 
Бумага лакмусовая нейтральная,селективные реактивы,,180 
Аммоний сернокислый чда,селективные реактивы,,75 
Глюкоза  хч,,,220 
Кислота серная хч,,серная,85 
"Желатин П-11,П13",селективные реактивы,,1 200 
"Натрий йодистый 2-водный чда, натрий йодид",селективные реактивы,,4 800 
Свинец (II) углекислый основной ч,селективные реактивы,,480 
Оранжевый Ж,селективные реактивы,,3 000 
Кислота фтористоводородная осч 27-5,,плавиковая,700 
Железный купорос тех,селективные реактивы,,300 
Карбамид марка А ГОСТ 2081-20,селективные реактивы,,120 
Свинец уксуснокислый чда (свинец диацетат),селективные реактивы,,980 
Кислота сульфаниловая,,,1 000 
Трихлорэтилен осч 13-2,селективные реактивы,,1 480 
Кальций углекислый (кальций карбонат),селективные реактивы,,300 
Калий хромовокислый хч (Калий хромат),,,1 200 
Фильтры обез. (в ассортименте),,,100 
Аммоний углекислый ч,селективные реактивы,,210 
Нефрас С4-150\200,селективные реактивы,,120 
Люминор  540РТ,селективные реактивы,,38 000 
Кислота сульфосалициловая 2-вод.,,,750 
"1,5-дифенилкарбозон чда",необратимый,Россия,26 000 
Пафафин  Т-2,селективные реактивы,,150 
Натрий родизоновокислый (натрий родизонат),,Украина,85 000 
Олово борфтористое,селективные реактивы,,830 
"Кислота фтористоводородная, кислота плавиковая",,плавиковая,550 
"Калий углекислый (поташ), сорт2, полутораводный",,,200 
Олово (II) хлорид ч,селективные реактивы,,4 500 
Никель (II) азотнокислый 6 - вод. ч,,,582 
Калий железистосинеродистый 3в. Ч,,порошок,1 000 
Суперфосфат,селективные реактивы,,160 
"Силикагель КСМГ, КСКГ",,силикагель,120 
Н-нонан чда,селективные реактивы,,3 800 
Никель (II) сернокислый 7-вод. Ч,,,765 
Гадолиний оксид,селективные реактивы,,6 000 
Калий азотнокислый ч,,,100 
"Дифенилкарбазон, чда",селективные реактивы,,28 000 
Глутамат натрия,селективные реактивы,,350 
Медь  однойодистая  ч (медь I  йодид),,,2 800 
Гидроксиламин гидрохлорид чда,селективные реактивы,,1 980 
Марганца (IV) окись,селективные реактивы,Россия,350 
"Аэросил А 200, 300, 380 (диоксид кремния)",селективные реактивы,,1 500 
Барий хлористый 2-вод. Хч,,,85 
Натрий бисульфит  водный раствор,селективные реактивы,,250 
Фильтр обеззоленные белая  лента 7,селективные реактивы,,20 
Аммоний хромовокислый чда,,,220 
Свинец (II) диэтилдитиокарбамат ч,селективные реактивы,,2 800 
Судан 1,селективные реактивы,,7 000 
Цинка стеарат ч,селективные реактивы,,550 
Натрий фтористый,селективные реактивы,,450 
Бутиловый эфир метакриловой кислоты,,,480 
Аммоний бромистый,селективные реактивы,,850 
Алюминий сернокислый 18-вод. чда,селективные реактивы,,120 
Йод кристаллический ч,селективные реактивы,,6 000 
Бензонитрил,селективные реактивы,,4 900 
Кадмий йодистый,селективные реактивы,,3 500 
Кислота уксусная лесохимическая,,,250 
Силикагель индикаторный,селективные реактивы,,420 
Гептан хч,селективные реактивы,,1 000 
Калий хлороплатинат,,,1 300 000 
Калий фосфорнокислый 1 - зам. Хч,,,320 
Флуоресцеин ртуть ацетат,селективные реактивы,,1 200 000 
Фенантролин основание чда,селективные реактивы,,34 800 
Глицерин ПК-98,селективные реактивы,,280 
Калий сернокислый чда,,,380 
Эфир бутиловый уксусной кислоты хч,,,452 
Натрий бисульфит тех,селективные реактивы,,250 
Воск защитный ЯВ-1,,,150 
Кислота ортофосфорная 85%,,Китай,320 
Иона марганца (II),селективные реактивы,,200 
"Алюминий фосфорнокислый мета, ортофосфат алюминия, алюминий фосфорнокислый",селективные реактивы,,560 
Бензоил хлористый,селективные реактивы,,4 500 
Этилсиликат-40,селективные реактивы,,500 
Калий сурьмяновиннокислый  чда,,порошок,2 500 
Кальций фосфорнокислый 1-зам,селективные реактивы,,120 
Бутанол-1 (Бутиловый спирт) чда,селективные реактивы,,400 
Кислота уксусная ледяная хч,,уксусная,250 
Серебро сернокислое хч (серебро сульфат),,,65 000 
Бора нитрид гексагональный,селективные реактивы,,6 500 
"Натрий углекислый кислый, натрий двууглекислый, сода пищевая",селективные реактивы,Россия,120 
Бензидин основание,селективные реактивы,,185 000 
Ацетонитрил 1 (осч),селективные реактивы,,1 900 
Калий бензойнокислый,,,780 
Натрий сернистый 9-вод. чда,,,1 200 
Аммоний муравьинокислый (формиат),селективные реактивы,,1 800 
Хлорпарафин ХП-470А,селективные реактивы,,190 
"Калий теллуристокислый раствор 2%, амп. 5мл",,,400 
Кислота кремневая водная,,,900 
Натрий уксуснокислый плавленный ч,селективные реактивы,,750 
Натрий тетраборнокислый 10 вод. Хч,,,160 
Алюминий бромистый,селективные реактивы,,850 
Этиленхлоргидрин,селективные реактивы,,750 
Изо-амиловый спирт чда,,,430 
Гуаровая камедь,селективные реактивы,,490 
Калий тетрафтороборат ч,,,650 
Калий йодистый чда,,порошок,10 000 
Гексан хч,селективные реактивы,,1 080 
"ГСО  бензойная кислота К-3   99,99% 50г",,,35 000 
Триэтаноламин тех.  м. А,селективные реактивы,,350 
Соль таблетированная выварочная универсальная,,,32 
Медь фосфорнокислая пиро  ч,,,800 
Кислота адипиновая  имп. в/с,,,450 
